년월,시군구별,연료별,승용,승합,화물,특수,계
2019-07-01,도봉구,경유,61,88,1542,156,1847
2019-07-01,도봉구,기타연료,1,48,81,,130
2019-07-01,도봉구,기타연료,,,8,,8
2019-07-01,도봉구,수소,1,,,,1
2019-07-01,도봉구,엘피지,6121,589,793,1,7504
2019-07-01,도봉구,엘피지,4820,12,302,,5134
2019-07-01,도봉구,전기,133,,,,133
2019-07-01,도봉구,전기,34,,,,34
2019-07-01,도봉구,하이브리드(CNG+전기),,8,,,8
2019-07-01,도봉구,하이브리드(LPG+전기),65,,,,65
2019-07-01,도봉구,하이브리드(경유+전기),1,,,,1
2019-07-01,도봉구,하이브리드(휘발유+전기),1725,,,,1725
2019-07-01,도봉구,하이브리드(휘발유+전기),5,,,,5
2019-07-01,도봉구,휘발유,17665,8,23,,17696
2019-07-01,도봉구,휘발유,51,,,,51
2019-07-01,도봉구,휘발유(무연),28697,13,19,,28729
2019-07-01,도봉구,휘발유(무연),60,,,,60
2019-07-01,도봉구,휘발유(유연),34,,,,34
2019-07-01,노원구,CNG,36,3,7,,46
2019-07-01,노원구,CNG,,591,1,,592
2019-07-01,노원구,경유,36102,3826,10191,82,50201
2019-07-01,노원구,경유,120,270,1673,262,2325
2019-07-01,노원구,기타연료,2,65,138,2,207
2019-07-01,노원구,기타연료,,,14,,14
2019-07-01,노원구,수소,1,,,,1
2019-07-01,노원구,엘피지,10275,762,966,1,12004
2019-07-01,노원구,엘피지,5808,6,344,,6158
2019-07-01,노원구,전기,209,1,,,210
2019-07-01,노원구,전기,13,,,,13
2019-07-01,노원구,하이브리드(CNG+전기),,31,,,31
2019-07-01,노원구,하이브리드(LPG+전기),106,,,,106
2019-07-01,노원구,하이브리드(경유+전기),3,,,,3
2019-07-01,노원구,하이브리드(휘발유+전기),3222,,,,3222
2019-07-01,노원구,하이브리드(휘발유+전기),3,,,,3
2019-07-01,노원구,휘발유,29774,6,39,,29819
2019-07-01,노원구,휘발유,42,,,,42
2019-07-01,노원구,휘발유(무연),47500,24,16,,47540
2019-07-01,노원구,휘발유(무연),197,,,,197
2019-07-01,노원구,휘발유(유연),54,,,,54
2019-07-01,은평구,CNG,14,2,12,,28
2019-07-01,은평구,CNG,3,719,,,722
2019-07-01,은평구,경유,30341,3517,10229,79,44166
2019-07-01,은평구,경유,66,56,1682,185,1989
2019-07-01,은평구,기타연료,2,43,114,5,164
2019-07-01,은평구,기타연료,,,1,,1
2019-07-01,은평구,수소,6,,,,6
2019-07-01,은평구,엘피지,7683,781,905,,9369
2019-07-01,은평구,엘피지,4054,6,253,,4313
2019-07-01,은평구,전기,179,,,1,180
2019-07-01,은평구,전기,9,,,,9
2019-07-01,은평구,하이브리드(CNG+전기),,1,,,1
2019-07-01,은평구,하이브리드(LPG+전기),109,,,,109
2019-07-01,은평구,하이브리드(경유+전기),1,,,,1
2019-07-01,은평구,하이브리드(휘발유+전기),2727,,,,2727
2019-07-01,은평구,하이브리드(휘발유+전기),2,,,,2
2019-07-01,은평구,휘발유,26266,11,42,,26319
2019-07-01,은평구,휘발유,6,,1,,7
2019-07-01,은평구,휘발유(무연),39859,24,26,,39909
2019-07-01,은평구,휘발유(무연),81,,,,81
2019-07-01,은평구,휘발유(유연),40,,,,40
2019-07-01,서대문구,CNG,9,10,14,,33
2019-07-01,서대문구,CNG,2,281,,,283
2019-07-01,서대문구,경유,20088,2423,6008,72,28591
2019-07-01,서대문구,경유,259,158,1669,234,2320
2019-07-01,서대문구,기타연료,2,40,65,1,108
2019-07-01,서대문구,기타연료,,,43,,43
2019-07-01,서대문구,수소,5,,,,5
2019-07-01,서대문구,엘피지,4381,402,554,,5337
2019-07-01,서대문구,엘피지,2848,9,125,,2982
2019-07-01,서대문구,전기,160,,,,160
2019-07-01,서대문구,전기,13,,,,13
2019-07-01,서대문구,하이브리드(CNG+전기),,2,,,2
2019-07-01,서대문구,하이브리드(LPG+전기),59,,,,59
2019-07-01,서대문구,하이브리드(경유+전기),1,,,,1
2019-07-01,서대문구,하이브리드(휘발유+전기),2111,,,,2111
